,title,label,processed_title
0,"Director, Learning and Support",CLASS1,director learning and support
1,Customer Service Assistant,CLASS2,customer service assistant
2,2023 Internship and Education Program Management Intern,CLASS13, intern and education program management intern
3,Communications Technician,CLASS13,communications technician
4,Emergency Preparedness Officer,CLASS3,emergency prepresentativearedness officer
5,Engineer IV - Communications,CLASS4,engineer 4  communications
6,"Coordinator, IT Contract Services",CLASS5,coordinator it contract services
7,2023 Video Production and Media Intern,CLASS6, video production and media intern
8,"Business Analyst, Supply Chain Operations",CLASS7,business analyst supply chain operations
9,"Senior Manager, Enterprise Applications",CLASS5,senior manager enterprise applications
10,"Manager, Rail Car Appearance",CLASS13,manager rail car appearance
11,RPM Construction Project Manager,CLASS8,rpm construction project manager
12,"2023 Internship and Education Programs, One Summer Chicago Cohort Lead Intern",CLASS1, intern and education programs one summer chicago cohort lead intern
13,Senior Attorney - Torts,CLASS9,senior attorney  torts
14,Associate Attorney - Torts,CLASS9,associate attorney  torts
15,Associate Attorney - Corporate,CLASS9,associate attorney  corporate
16,Legal Assistant - Torts,CLASS9,legal assistant  torts
17,"Senior Project Manager, Capital Controls - RLE",CLASS10,senior project manager capital controls  rle
18,Project Specialist II - Information Technology,CLASS5,project specialist 2  information technology
19,"Manager, Rail Instruction",CLASS13,manager rail instruction
20,"Manager, Administration - Rail Station Management",CLASS13,manager administration  rail station management
21,Training Specialist I - Safety,CLASS1,training specialist 1  safety
22,Occupational Safety Officer,CLASS3,occupational safety officer
23,Rail Janitor Coordinator,CLASS13,rail janitor coordinator
24,Rail Customer Service Representative / Security C,CLASS2,rail customer service representativeresentative  security c
25,Project Specialist II - Infrastructure,CLASS13,project specialist 2  infrastructure
26,"Specialist, Employee Engagement - HR Inreach",CLASS1,specialist employee engagement  human resource inreach
27,Graphic Designer,CLASS5,graphic designer
28,FULL TIME BUS OPERATOR,CLASS13,full time bus operator
29,Property Accountant I,CLASS10,property accountant 1
30,Executive Assistant I - Training and Workforce Development,CLASS1,executive assistant 1  training and workforce development
31,"Senior Coordinator, Fare Systems - Innovations",CLASS13,senior coordinator fare systems  innovations
32,Rail Equipment Engineer II,CLASS8,rail equipment engineer 2
33,2022 - 2023 Talent Assessment and Analytics Intern,CLASS1,   talent assessment and analytics intern
34,"FTT Coordinator, Rail Car Appearance",CLASS13,ftt coordinator rail car appearance
35,"Senior Manager, Transit Systems Support",CLASS2,senior manager transit systems support
36,Senior Data Engineer,CLASS5,senior data engineer
37,"Business Analyst, Procurement Systems",CLASS7,business analyst procurement systems
38,Business Intelligence Developer,CLASS5,business intelligence developer
39,Assembler Helper,CLASS8,assembler helper
40,"Specialist, Talent Assessment and Analytics",CLASS1,specialist talent assessment and analytics
41,Quality Assurance Inspector,CLASS8,quality assurance inspector
42,"Vice President, Technology",CLASS5,vice president technology
43,System Analyst II,CLASS5,system analyst 2
44,"Senior Manager, Signal Engineering",CLASS8,senior manager signal engineering
